gender,season,occasion,dress_type,product,shoes,accessory,color,fabric,budget
female,spring,office,eastern,kurti + plazo,flats,earrings + handbag,black,cotton,11507
female,autumn,office,western,light jacket + top + jeans,sneakers,handbag + necklace,pink,denim,9319
male,spring,barat,western,blazer + jeans,sneakers,cap + belt,maroon,cotton,9731
male,autumn,mehndi,eastern,kurta + waistcoat,peshawari chappal,belt,orange,denim,5058
male,winter,mehndi,eastern,shalwar kameez + shawl,khussa,cap,orange,wool,1895
male,winter,walima,western,turtle neck + jeans,formal shoes,watch,white,leather,14686
male,spring,office,western,dress shirt + chinos,boots,watch + belt,blue,cotton,10308
female,spring,casual,eastern,kurti + plazo,khussa,bracelet,maroon,cotton,14174
female,winter,mehndi,western,sweater + jeans,sandals,earrings,yellow,leather,13737
female,autumn,barat,western,light jacket + top + jeans,sandals,bracelet + handbag,maroon,denim,6569
male,spring,eid,western,blazer + jeans,loafers,belt,pastel,cotton,12997
male,spring,casual,eastern,kurta + pajama,peshawari chappal,cap + belt,silver,cotton,3822
male,autumn,office,western,light jacket + chinos,formal shoes,watch,brown,denim,9797
male,summer,walima,eastern,shalwar kameez,peshawari chappal,watch + cap,silver,lawn,2558
female,winter,christmas,western,hoodie + baggy jeans,sandals,bracelet + handbag,red,wool,11288
male,autumn,eid,western,shirt + jeans,formal shoes,cap,white,denim,13283
male,summer,wedding,western,hawaiian shirt + chinos,loafers,watch,red,cotton,19952
male,spring,wedding,western,blazer + jeans,loafers,belt + watch,gold,chiffon,12154
male,autumn,walima,eastern,kurta + waistcoat,khussa,watch + cap,white,linen,8663
male,summer,wedding,western,t shirt + shorts,loafers,cap,red,lawn,12822
male,spring,mehndi,western,blazer + jeans,sneakers,watch,yellow,cotton,1451
female,spring,barat,eastern,kurti + plazo,khussa,bracelet,red,cotton,5608
female,summer,christmas,western,t shirt + skirt,heels,bracelet + handbag,green,cotton,8381
female,winter,mehndi,western,turtle neck + coat,boots,necklace + handbag,yellow,wool,1242
male,summer,wedding,eastern,shalwar kameez,khussa,cap,maroon,lawn,14952
male,winter,wedding,eastern,kurta + waistcoat,peshawari chappal,watch + cap,maroon,denim,1016
male,autumn,office,western,light jacket + chinos,sneakers,cap + watch,blue,linen,11413
female,winter,christmas,eastern,long frock + coat,sandals,handbag + earrings,red,leather,2042
male,summer,mehndi,western,t shirt + shorts,sneakers,belt + watch,green,cotton,18854
male,winter,walima,eastern,shalwar kameez + shawl,peshawari chappal,cap + belt,white,wool,15425
male,winter,barat,eastern,shalwar kameez + shawl,peshawari chappal,belt,maroon,wool,7594
male,winter,casual,eastern,shalwar kameez + shawl,peshawari chappal,watch,purple,denim,17860
male,summer,barat,western,hawaiian shirt + chinos,formal shoes,watch + cap,red,linen,15720
female,autumn,eid,eastern,kurti + trouser,sandals,handbag + bracelet,pastel,linen,19885
female,spring,office,eastern,kurti + plazo,flats,earrings,maroon,cotton,6940
female,winter,eid,western,turtle neck + coat,boots,necklace,pastel,wool,17682
female,winter,christmas,eastern,long frock + coat,sandals,necklace,red,leather,6921
female,spring,wedding,western,top + jeans,sneakers,earrings,red,cotton,18563
female,winter,mehndi,eastern,long frock + coat,flats,handbag,yellow,leather,2749
male,spring,eid,eastern,kurta + pajama,khussa,belt,pastel,cotton,17939
male,autumn,casual,eastern,kurta + waistcoat,khussa,belt,gold,linen,19859
male,summer,christmas,western,t shirt + shorts,formal shoes,watch + cap,red,lawn,13173
female,spring,eid,eastern,kurti + plazo,khussa,earrings,white,cotton,17234
female,winter,christmas,western,hoodie + baggy jeans,heels,bracelet,red,denim,15839
male,winter,barat,western,sweatshirt + joggers,formal shoes,watch,red,leather,16348
female,winter,mehndi,eastern,long frock + coat,flats,handbag + bracelet,orange,leather,6069
male,autumn,christmas,eastern,kurta + waistcoat,peshawari chappal,cap,red,denim,3507
female,summer,barat,western,t shirt + skirt,heels,bracelet + earrings,gold,lawn,14332
female,spring,barat,eastern,kurti + plazo,khussa,handbag + bracelet,maroon,chiffon,5142
male,autumn,mehndi,eastern,kurta + waistcoat,peshawari chappal,belt,orange,denim,8124
female,autumn,mehndi,eastern,kurti + trouser,flats,bracelet + handbag,yellow,denim,4707
female,winter,christmas,western,hoodie + baggy jeans,sandals,handbag,red,denim,1882
male,winter,barat,western,turtle neck + jeans,boots,watch,gold,leather,17226
female,summer,wedding,western,top + baggy jeans,heels,earrings + bracelet,gold,lawn,5122
male,autumn,casual,eastern,kurta + waistcoat,khussa,cap,orange,linen,4250
male,spring,mehndi,eastern,kurta + pajama,peshawari chappal,cap,orange,chiffon,19913
female,spring,eid,eastern,kurti + plazo,flats,necklace,white,cotton,11535
female,winter,eid,western,hoodie + baggy jeans,sneakers,necklace + bracelet,white,wool,11924
male,winter,eid,western,sweatshirt + joggers,sneakers,belt,pastel,wool,1761
male,spring,barat,western,dress shirt + chinos,loafers,belt + watch,gold,cotton,7923
female,autumn,mehndi,eastern,kurti + trouser,khussa,earrings,yellow,linen,8456
female,autumn,barat,western,light jacket + top + jeans,sneakers,handbag,red,linen,14475
male,spring,wedding,eastern,kurta + pajama,khussa,cap + watch,maroon,cotton,18761
female,spring,eid,western,top + jeans,sandals,earrings + bracelet,white,chiffon,19728
male,winter,eid,western,jacket + jeans,formal shoes,cap + watch,pastel,leather,16328
male,winter,mehndi,western,turtle neck + jeans,loafers,watch,orange,denim,2762
male,spring,mehndi,eastern,kurta + pajama,khussa,cap,yellow,chiffon,13493
female,spring,wedding,western,top + jeans,sandals,necklace,red,chiffon,4309
female,summer,mehndi,western,dress,sandals,handbag + necklace,green,cotton,1763
female,autumn,walima,eastern,kurti + trouser,flats,handbag,white,linen,10564
male,spring,mehndi,eastern,kurta + pajama,peshawari chappal,cap,orange,cotton,10690
male,autumn,mehndi,eastern,kurta + waistcoat,khussa,cap + belt,green,denim,8555
female,spring,eid,western,top + jeans,boots,handbag + bracelet,pastel,chiffon,12902
female,winter,eid,western,sweater + jeans,sandals,earrings,pastel,denim,7934
male,summer,christmas,western,t shirt + shorts,loafers,watch,red,cotton,13072
male,summer,wedding,western,t shirt + shorts,loafers,watch,red,linen,14869
male,winter,casual,eastern,kurta + waistcoat,khussa,watch,orange,wool,5742
male,winter,walima,eastern,kurta + waistcoat,khussa,watch + cap,silver,wool,3589
female,autumn,casual,western,light jacket + top + jeans,sneakers,earrings,blue,denim,16946
male,winter,mehndi,western,turtle neck + jeans,sneakers,watch,orange,leather,13850
male,spring,christmas,eastern,kurta + pajama,peshawari chappal,belt + watch,red,chiffon,18245
female,winter,casual,eastern,long frock + coat,flats,necklace + bracelet,silver,wool,14812
male,winter,office,eastern,kurta + waistcoat,khussa,cap + belt,green,wool,9988
male,summer,office,western,t shirt + shorts,loafers,watch,beige,cotton,11982
male,spring,christmas,eastern,kurta + pajama,khussa,belt + watch,green,cotton,1254
male,spring,barat,western,t shirt + joggers,formal shoes,watch,maroon,chiffon,9793
male,winter,casual,eastern,shalwar kameez + shawl,khussa,cap,gold,denim,11357
male,spring,casual,eastern,kurta + pajama,peshawari chappal,watch + cap,red,chiffon,5050
female,spring,barat,eastern,kurti + plazo,sandals,bracelet + handbag,red,chiffon,8496
female,winter,barat,western,turtle neck + coat,boots,bracelet,red,denim,12444
female,autumn,barat,eastern,kurti + trouser,sandals,bracelet,gold,linen,12563
female,spring,christmas,western,dress shirt + pants,sneakers,necklace,green,cotton,10680
male,summer,barat,western,hawaiian shirt + chinos,sneakers,belt,gold,lawn,4807
female,autumn,eid,western,light jacket + top + jeans,sneakers,earrings + necklace,white,denim,11616
female,winter,casual,eastern,kurta + shawl,khussa,earrings,yellow,wool,16221
female,spring,eid,western,top + jeans,boots,necklace + bracelet,white,cotton,6126
male,spring,walima,eastern,kurta + pajama,peshawari chappal,belt + watch,white,chiffon,5576
male,summer,wedding,western,t shirt + shorts,sneakers,watch,red,linen,16912
male,winter,office,eastern,shalwar kameez + shawl,khussa,belt + watch,yellow,wool,8823
female,summer,barat,western,t shirt + skirt,sneakers,earrings,gold,lawn,9849
female,summer,office,western,top + baggy jeans,boots,necklace,pink,cotton,7727
female,autumn,wedding,western,light jacket + top + jeans,boots,bracelet + earrings,maroon,denim,15915
female,summer,walima,eastern,kurti + trouser,khussa,bracelet,silver,linen,3222
female,summer,casual,western,top + baggy jeans,boots,necklace + handbag,beige,linen,15011
female,winter,wedding,western,turtle neck + coat,heels,necklace + bracelet,maroon,denim,8766
male,winter,christmas,eastern,kurta + waistcoat,khussa,belt + cap,red,denim,18219
male,winter,eid,western,sweatshirt + joggers,loafers,cap,white,wool,19754
female,spring,casual,western,top + jeans,sandals,bracelet,orange,chiffon,4728
female,winter,eid,western,hoodie + baggy jeans,boots,necklace,white,leather,18969
male,summer,mehndi,western,hawaiian shirt + chinos,formal shoes,watch,green,cotton,15072
male,winter,walima,western,sweatshirt + joggers,formal shoes,cap,silver,wool,9739
male,autumn,wedding,western,shirt + jeans,loafers,watch,red,denim,13381
male,spring,office,western,t shirt + joggers,loafers,cap + watch,purple,chiffon,7091
female,summer,eid,eastern,short frock + plazo,khussa,bracelet,white,cotton,15184
female,autumn,walima,eastern,kurti + trouser,flats,necklace + bracelet,silver,linen,5146
female,autumn,eid,eastern,kurti + trouser,khussa,necklace + bracelet,pastel,linen,19721
female,autumn,eid,western,light jacket + top + jeans,sandals,earrings,white,linen,9468
female,spring,wedding,western,top + jeans,sandals,earrings,gold,chiffon,19435
male,autumn,wedding,eastern,kurta + waistcoat,khussa,watch + cap,red,linen,7384
male,spring,eid,eastern,kurta + pajama,peshawari chappal,cap + watch,pastel,cotton,7290
female,summer,walima,eastern,kurti + trouser,khussa,handbag + bracelet,silver,lawn,3542
female,summer,walima,western,top + baggy jeans,sneakers,necklace + bracelet,silver,linen,18642
male,autumn,walima,western,light jacket + chinos,formal shoes,belt,silver,denim,10584
male,summer,mehndi,western,t shirt + shorts,formal shoes,watch + cap,orange,cotton,13264
male,summer,christmas,eastern,shalwar kameez,peshawari chappal,cap + watch,red,cotton,17686
male,autumn,mehndi,western,shirt + jeans,formal shoes,cap,yellow,linen,18879
female,autumn,eid,western,light jacket + top + jeans,heels,earrings,white,linen,3749
female,summer,office,eastern,kurti + trouser,sandals,handbag + necklace,yellow,cotton,10699
female,winter,barat,western,turtle neck + coat,heels,handbag + necklace,maroon,wool,14731
male,spring,wedding,eastern,kurta + pajama,khussa,belt + watch,red,cotton,11641
male,autumn,barat,western,shirt + jeans,sneakers,belt + cap,maroon,denim,11029
female,spring,walima,eastern,kurti + plazo,flats,earrings + bracelet,white,chiffon,10448
female,winter,christmas,eastern,long frock + coat,flats,bracelet,green,wool,9972
female,summer,office,eastern,kurti + trouser,khussa,necklace + earrings,purple,cotton,15055
female,spring,christmas,western,dress shirt + pants,sandals,necklace,red,chiffon,4355
female,summer,mehndi,eastern,long frock + tights,flats,earrings + necklace,green,cotton,12005
female,winter,office,eastern,kurta + shawl,flats,handbag,green,denim,7623
male,summer,casual,eastern,kurta + pajama,khussa,belt,gold,lawn,4080
male,spring,walima,western,blazer + jeans,sneakers,cap + watch,silver,cotton,13130
male,winter,casual,western,hoodie + jeans,loafers,watch,orange,wool,8078
male,autumn,mehndi,western,light jacket + chinos,loafers,cap,yellow,linen,3009
male,summer,eid,western,hawaiian shirt + chinos,loafers,watch,pastel,linen,3344
male,spring,wedding,western,blazer + jeans,formal shoes,belt,red,chiffon,3724
male,spring,barat,western,t shirt + joggers,sneakers,watch,red,chiffon,3177
female,autumn,walima,western,light jacket + top + jeans,heels,handbag + necklace,silver,denim,7846
female,spring,wedding,western,top + jeans,boots,earrings + necklace,gold,chiffon,14017
male,autumn,eid,western,shirt + jeans,boots,belt + watch,pastel,denim,3134
female,spring,office,western,top + jeans,boots,handbag + bracelet,black,chiffon,9647
female,spring,barat,eastern,kurti + plazo,flats,necklace,gold,cotton,8702
female,winter,wedding,western,hoodie + baggy jeans,heels,earrings,maroon,leather,6553
male,summer,office,eastern,shalwar kameez,khussa,cap + watch,white,lawn,18491
male,winter,office,western,turtle neck + jeans,boots,watch,black,wool,5761
male,autumn,wedding,western,light jacket + chinos,loafers,belt,gold,denim,14294
male,winter,barat,western,jacket + jeans,sneakers,cap + belt,red,denim,8199
male,winter,office,western,turtle neck + jeans,sneakers,watch,brown,wool,7958
female,summer,christmas,eastern,long frock + tights,flats,necklace,green,linen,12988
male,summer,office,eastern,shalwar kameez,peshawari chappal,cap,gold,linen,2877
male,winter,wedding,eastern,kurta + waistcoat,khussa,watch + belt,gold,denim,9349
male,spring,walima,western,blazer + jeans,loafers,belt + cap,white,chiffon,6705
female,spring,walima,western,dress shirt + pants,heels,necklace + handbag,white,chiffon,3546
male,summer,christmas,western,hawaiian shirt + chinos,formal shoes,belt,green,linen,15982
female,autumn,office,western,light jacket + top + jeans,boots,necklace + bracelet,orange,linen,14107
male,spring,mehndi,eastern,kurta + pajama,khussa,watch,green,cotton,16148
female,autumn,walima,western,light jacket + top + jeans,sneakers,bracelet,silver,linen,13949
female,autumn,office,western,light jacket + top + jeans,heels,bracelet + necklace,red,denim,16116
male,autumn,casual,western,light jacket + chinos,sneakers,cap + belt,red,denim,2247
female,autumn,casual,eastern,kurti + trouser,flats,earrings + bracelet,orange,linen,3898
female,autumn,office,western,light jacket + top + jeans,boots,handbag + bracelet,gold,denim,8019
male,winter,eid,western,turtle neck + jeans,boots,cap + belt,white,denim,15980
male,spring,casual,eastern,kurta + pajama,peshawari chappal,cap + belt,red,chiffon,1046
female,winter,barat,western,hoodie + baggy jeans,sandals,earrings,red,leather,14419
male,autumn,wedding,eastern,kurta + waistcoat,peshawari chappal,cap + belt,red,denim,9188
female,spring,mehndi,eastern,kurti + plazo,flats,bracelet,orange,cotton,3269
male,summer,casual,western,t shirt + shorts,boots,cap,yellow,cotton,11873
female,autumn,casual,eastern,kurti + trouser,flats,handbag + earrings,orange,linen,19734
male,spring,wedding,western,dress shirt + chinos,boots,belt,maroon,cotton,11470
female,winter,eid,eastern,kurta + shawl,flats,necklace,white,wool,11436
female,spring,mehndi,western,top + jeans,sandals,bracelet,green,chiffon,6823
female,summer,eid,western,t shirt + skirt,heels,bracelet,white,lawn,12191
female,winter,walima,western,sweater + jeans,boots,necklace + handbag,silver,denim,1796
male,autumn,barat,eastern,kurta + waistcoat,peshawari chappal,cap,gold,linen,8707
male,spring,barat,eastern,kurta + pajama,khussa,cap,red,cotton,2116
female,summer,casual,eastern,short frock + plazo,sandals,necklace + earrings,gold,cotton,1466
female,winter,wedding,eastern,long frock + coat,khussa,earrings,gold,leather,12630
female,spring,christmas,eastern,kurti + plazo,flats,bracelet,green,cotton,17247
male,spring,mehndi,western,t shirt + joggers,boots,cap,orange,cotton,18383
male,autumn,wedding,eastern,kurta + waistcoat,khussa,watch + cap,red,denim,18094
female,autumn,office,western,light jacket + top + jeans,heels,earrings + handbag,green,denim,1563
female,autumn,mehndi,eastern,kurti + trouser,sandals,necklace,yellow,denim,7275
male,winter,eid,eastern,shalwar kameez + shawl,peshawari chappal,cap,pastel,leather,4172
female,winter,christmas,eastern,kurta + shawl,flats,bracelet + necklace,red,leather,2513
female,summer,walima,eastern,long frock + tights,flats,earrings,white,cotton,16730
female,summer,mehndi,western,top + baggy jeans,sandals,earrings,green,linen,13814
male,summer,walima,western,t shirt + jeans,sneakers,belt + watch,white,linen,2806
female,spring,barat,western,top + jeans,heels,bracelet,gold,chiffon,10332
male,summer,wedding,western,t shirt + shorts,loafers,cap,red,lawn,10388
female,summer,christmas,western,dress,sandals,earrings + handbag,red,cotton,3461
female,winter,wedding,eastern,kurta + shawl,flats,handbag + bracelet,maroon,leather,10161
male,winter,eid,western,hoodie + jeans,sneakers,belt,white,denim,10950
female,autumn,christmas,eastern,kurti + trouser,flats,necklace,red,linen,9075
female,summer,wedding,western,top + baggy jeans,boots,necklace + bracelet,red,cotton,14915
male,autumn,office,western,shirt + jeans,formal shoes,watch,orange,denim,13909
male,summer,barat,eastern,kurta + pajama,peshawari chappal,belt + cap,gold,cotton,16441
male,summer,casual,western,t shirt + jeans,boots,watch + belt,silver,linen,3292
male,summer,office,eastern,kurta + pajama,khussa,belt + cap,purple,cotton,2563
female,autumn,office,eastern,kurti + trouser,khussa,handbag + bracelet,green,denim,4942
male,summer,barat,eastern,kurta + pajama,peshawari chappal,cap,red,lawn,2925
female,autumn,christmas,western,light jacket + top + jeans,sneakers,bracelet + necklace,red,linen,1116
male,spring,walima,western,blazer + jeans,boots,cap + belt,white,chiffon,19479
female,winter,barat,western,turtle neck + coat,sneakers,necklace,red,leather,6937
male,winter,wedding,western,turtle neck + jeans,sneakers,cap + belt,red,denim,15944
male,spring,casual,eastern,kurta + pajama,khussa,belt,beige,chiffon,10194
female,summer,mehndi,western,t shirt + skirt,boots,necklace + earrings,orange,cotton,2659
male,spring,office,eastern,kurta + pajama,peshawari chappal,cap + watch,black,chiffon,15393
male,summer,barat,eastern,kurta + pajama,khussa,belt,gold,linen,3482
female,autumn,christmas,western,light jacket + top + jeans,boots,necklace,green,linen,12423
female,spring,christmas,western,top + jeans,heels,necklace,red,chiffon,4099
male,winter,mehndi,eastern,shalwar kameez + shawl,khussa,watch,green,wool,19444
male,summer,christmas,western,hawaiian shirt + chinos,sneakers,cap,red,linen,12301
male,autumn,office,western,shirt + jeans,loafers,watch + cap,beige,denim,18498
male,spring,eid,eastern,kurta + pajama,khussa,cap,white,chiffon,18248
female,autumn,mehndi,eastern,kurti + trouser,khussa,necklace + bracelet,yellow,linen,9804
male,spring,office,eastern,kurta + pajama,khussa,cap + watch,silver,chiffon,14925
female,autumn,eid,eastern,kurti + trouser,sandals,necklace,white,linen,14640
male,spring,barat,eastern,kurta + pajama,khussa,watch,red,cotton,10139
male,spring,mehndi,western,blazer + jeans,sneakers,cap,yellow,cotton,4681
male,spring,casual,western,dress shirt + chinos,boots,watch + cap,blue,cotton,13978
male,autumn,walima,western,light jacket + chinos,formal shoes,cap + watch,white,denim,2614
female,spring,office,western,top + jeans,sandals,handbag + earrings,orange,chiffon,10592
male,winter,christmas,eastern,shalwar kameez + shawl,khussa,cap + watch,red,leather,15811
female,autumn,walima,western,light jacket + top + jeans,boots,bracelet + earrings,white,linen,5276
female,winter,eid,eastern,kurta + shawl,flats,bracelet + earrings,pastel,leather,6487
male,winter,eid,western,turtle neck + jeans,loafers,belt,pastel,wool,9227
female,spring,mehndi,eastern,kurti + plazo,flats,earrings,yellow,chiffon,9140
female,winter,barat,eastern,long frock + coat,khussa,bracelet + handbag,maroon,denim,11587
male,autumn,office,eastern,kurta + waistcoat,peshawari chappal,belt + cap,white,denim,12595
female,spring,eid,eastern,kurti + plazo,sandals,handbag + necklace,white,chiffon,7000
male,autumn,mehndi,western,light jacket + chinos,boots,watch + belt,orange,linen,12743
